uri,created,lastModified,lastDownloaded
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xbean/xbean-reflect/3.4/xbean-reflect-3.4.pom,2016-11-28T17:52:01.464+05:30,2008-05-14T05:21:28.000+05:30,2023-10-16T15:46:52.798+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xbean/xbean-reflect/3.4/xbean-reflect-3.4.jar,2016-11-28T17:52:09.244+05:30,2015-03-29T01:24:41.000+05:30,2023-10-16T15:46:53.032+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/jackrabbit-ocm/2.0.0/jackrabbit-ocm-2.0.0.jar,2017-09-14T23:00:54.070+05:30,2012-07-06T16:49:19.000+05:30,2023-10-16T19:41:42.227+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/jackrabbit-ocm/2.0.0/jackrabbit-ocm-2.0.0.pom,2017-09-14T23:00:43.978+05:30,2012-07-06T16:49:19.000+05:30,2023-10-16T19:41:40.330+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/velocity/velocity/1.6-beta1/velocity-1.6-beta1.jar,2017-09-14T23:00:50.197+05:30,2008-09-20T03:05:55.000+05:30,2023-10-16T19:41:41.744+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/velocity/velocity/1.6-beta1/velocity-1.6-beta1.pom,2017-09-14T23:00:23.904+05:30,2008-09-20T03:05:55.000+05:30,2023-10-16T19:41:37.312+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xmlbeans/xmlbeans/2.3.0/xmlbeans-2.3.0.jar,2017-09-14T23:00:48.241+05:30,2008-08-31T17:16:11.000+05:30,2023-10-16T19:41:41.625+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xmlbeans/xmlbeans/2.3.0/xmlbeans-2.3.0.pom,2017-09-14T23:00:23.298+05:30,2008-08-31T17:16:11.000+05:30,2023-10-16T19:41:36.956+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xmlgraphics/xmlgraphics-commons/1.1/xmlgraphics-commons-1.1.pom,2017-09-14T23:00:27.744+05:30,2008-08-31T17:16:20.000+05:30,2023-10-16T19:41:38.887+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xmlgraphics/xmlgraphics-commons/1.1/xmlgraphics-commons-1.1.jar,2017-09-14T23:00:49.625+05:30,2008-08-31T17:16:20.000+05:30,2023-10-16T19:41:41.961+05:30
http://artifactory.nagarro.local/artifactory/api/storage/jcenter-cache/org/apache/xmlgraphics/fop/0.93/fop-0.93.pom,2017-09-14T23:00:26.470+05:30,2007-06-05T09:21:42.000+05:30,2023-10-16T19:41:38.859+05:30
